Version,Type,Class file format version[8],Release date,End of public updates (free),End of extended support (paid),Released,Codename,,_1,_2,Spider,"25 September 2018
(7 years ago)","14 September 2021
(4 years ago)","19 September 2023
(2 years ago)","16 September 2025
(28 days ago)"
JDK 1.0,,45[9],1996-01-23,May 1996,—,,,,,,,,,,
JDK 1.1,,45,1997-02-18,October 2002,—,,,,,,,,,,
J2SE 1.2,,46,1998-12-04,November 2003,—,,,,,,,,,,
J2SE 1.3,,47,2000-05-08,March 2006,—,,,,,,,,,,
J2SE 1.4,,48,2002-02-13,October 2008,—,,,,,,,,,,
J2SE 5.0 (1.5),,49,2004-09-30,October 2009,—,,,,,,,,,,
Java SE 6 (1.6),,50,2006-12-11,"April 2013 for Oracle
December 2018 for Azul[10]","December 2016 for Red Hat[11]
October 2018 for Oracle[12]
December 2027 for Azul[10]
March 2028 for BellSoft Liberica[13]",,,,,,,,,,
Java SE 7 (1.7),,51,2011-07-28,"July 2015 for Oracle
July 2022 for Azul[10]
September 2022 for IBM Java SDK[14]","June 2020 for Red Hat[11]
July 2022 for Oracle[15]
December 2027 for Azul[10]
March 2028 for BellSoft Liberica[13]",,,,,,,,,,
Java SE 8 (1.8),LTS,52,2014-03-18,"April 2019 for Oracle
April 2025 for IBM Java SDK[14]
November 2026 for Red Hat[11]
November 2026 for Azul[10]
November 2026 for IBM Semeru Runtimes[16]
December 2030 for Eclipse Temurin[17]
December 2030 for Amazon Corretto[18]","December 2030 for Oracle[4]
December 2030 for Azul[10]
March 2031 for BellSoft Liberica[13]",,,,,,,,,,
Java SE 9 (1.9),,53,2017-09-21,March 2018,—,,,,,,,,,,
Java SE 10 (1.10),,54,2018-03-20,September 2018,—,,,,,,,,,,
Java SE 11,LTS,55,2018-09-25,"April 2019 for Oracle
September 2027 for Microsoft Build of OpenJDK[19]
October 2024 for Red Hat[11]
October 2027 for Eclipse Temurin[17]
October 2027 for IBM Semeru Runtimes[16]
January 2032 for Amazon Corretto[18]
January 2032 for Azul[10]","January 2032 for Azul[10]
March 2032 for BellSoft Liberica[13]
October 2027 for Red Hat[11]
January 2032 for Oracle[4]",,,,,,,,,,
Java SE 12,,56,2019-03-19,September 2019,—,,,,,,,,,,
Java SE 13,,57,2019-09-17,March 2020,—,,,,,,,,,,
Java SE 14,,58,2020-03-17,September 2020,—,,,,,,,,,,
Java SE 15,,59,2020-09-16,March 2021,—,,,,,,,,,,
Java SE 16,,60,2021-03-16,September 2021,—,,,,,,,,,,
